Id,SalePrice
1461,120623.7912
1462,169331.6817
1463,183341.7058
1464,196826.9467
1465,197041.7023
1466,194562.6378
1467,170702.6958
1468,183127.0456
1469,217451.7393
1470,109013.176
1471,186418.1161
1472,109384.5248
1473,87985.71825
1474,146460.9981
1475,129094.2788
1476,334027.791
1477,262458.6821
1478,291610.1456
1479,285874.5575
1480,378834.3906
1481,308472.7526
1482,213240.4566
1483,200873.1365
1484,169806.85
1485,204477.191
1486,223672.7715
1487,315441.1077
1488,269751.811
1489,211039.2332
1490,212584.4479
1491,222766.9716
1492,107321.7511
1493,197924.149
1494,291681.6711
1495,284032.011
1496,200068.6884
1497,197050.7383
1498,161024.642
1499,166769.4092
1500,150009.2506
1501,162735.1165
1502,150469.7323
1503,273992.753
1504,249995.5416
1505,220301.6758
1506,207717.9432
1507,250479.5313
1508,222409.9874
1509,180551.4932
1510,148466.5513
1511,147298.7294
1512,169725.728
1513,198007.2021
1514,130398.5
1515,232880.4731
1516,183727.1214
1517,161590.91
1518,149478.209
1519,219952.1303
1520,126788.4254
1521,135450.4108
1522,195025.0626
1523,109177.053
1524,130223.8226
1525,114126.9207
1526,123015.6422
1527,95543.38455
1528,139918.1962
1529,138654.1486
1530,190193.0451
1531,123699.7366
1532,88963.32979
1533,149696.4455
1534,136602.3779
1535,155246.0551
1536,114859.7002
1537,47064.39972
1538,181419.5633
1539,234026.5036
1540,147298.0022
1541,167530.0002
1542,147753.5486
1543,205587.1725
1544,64094.26928
1545,132394.5642
1546,138993.7758
1547,130201.7093
1548,148842.8354
1549,114469.2659
1550,127233.4099
1551,131358.5281
1552,135344.6245
1553,142512.9652
1554,124591.1121
1555,178014.3499
1556,108177.9003
1557,111551.8332
1558,109980.464
1559,107588.7561
1560,142367.6014
1561,137763.9413
1562,108159.6255
1563,116170.1798
1564,149646.7233
1565,144334.4712
1566,245346.3554
1567,80779.5465
1568,215733.8381
1569,104459.393
1570,140862.5364
1571,106046.5217
1572,128961.0982
1573,258226.3947
1574,152366.6501
1575,235309.5055
1576,229580.7838
1577,209499.3591
1578,148481.214
1579,150305.7957
1580,219983.84
1581,133413.434
1582,118190.3601
1583,293621.6116
1584,239617.8007
1585,137737.3099
1586,49653.55396
1587,112851.1429
1588,137567.8539
1589,115121.8176
1590,146890.9979
1591,80089.55717
1592,124120.3547
1593,132008.5168
1594,144086.957
1595,136435.0438
1596,216052.1269
1597,171679.6279
1598,229041.338
1599,185473.6328
1600,186452.353
1601,28316.6647
1602,129578.2447
1603,65261.70969
1604,231673.6937
1605,268567.872
1606,174286.6755
1607,207468.7958
1608,224542.6178
1609,211429.9059
1610,166487.6223
1611,167329.4187
1612,179557.0493
